lat,lon,valores
42.315851717662,-71.091659857688,$ 3503k
41.884449727984,-71.495678204583,$ 3141k
42.3439137,-71.1014353,$ 4117k
42.3497475,-71.06834025,$ 3849k
42.30989705,-71.049690042206,$ 2762k
42.3486703,-71.0629127,$ 3024k
42.358119,-71.049805891059,$ 4691k
42.3497475,-71.06834025,$ 3208k
42.350132,-71.044022,$ 2118k
42.353458,-71.062852,$ 4827k
42.37859475,-71.061718083333,$ 2492k
42.34866685,-71.078316471051,$ 3859k
42.38002,-71.031770524317,$ 3580k
42.36565,-71.067503,$ 4293k
42.352087,-71.068418,$ 2765k
42.32021,-71.112067,$ 2456k
42.356251,-71.059434,$ 3891k
42.3568234,-71.0502568,$ 4222k
42.347545,-71.085343,$ 3317k
42.356251,-71.059434,$ 4863k
42.3470872,-71.0508219,$ 2250k
42.3538023,-71.1380631,$ 3665k
42.362078,-71.059753,$ 2633k
42.35467275,-71.075691,$ 4212k
42.351007972973,-71.065432324324,$ 3028k
42.34947955,-71.090995516708,$ 2935k
41.647456310423,-71.205044598943,$ 3255k
42.351007972973,-71.065432324324,$ 2047k
42.35519235,-71.074335214099,$ 4910k
42.2933353,-71.070502580682,$ 2332k
42.2933353,-71.070502580682,$ 3686k
42.33588,-71.05182,$ 3157k
42.354568714348,-71.063567152703,$ 2688k
42.348773616314,-71.089317705237,$ 2296k
42.344779545455,-71.063776272727,$ 2893k
42.346702933333,-71.0716154,$ 2547k
42.350132,-71.044022,$ 3801k
42.338835903266,-71.067089471111,$ 3150k
42.7010076,-72.6681626,$ 4323k
42.7010076,-72.6681626,$ 3707k
42.7010076,-72.6681626,$ 4625k
42.7010076,-72.6681626,$ 3112k
42.3439137,-71.1014353,$ 2143k
42.354397,-71.063428,$ 3591k
41.822314422064,-71.399322292881,$ 4481k
42.356251,-71.059434,$ 4760k
42.356251,-71.059434,$ 2648k
42.3572229,-71.065664645959,$ 2319k
42.36565,-71.067503,$ 2903k
42.38009,-71.06462,$ 4790k
42.336369666667,-71.038126666667,$ 4176k
42.3536887,-71.0638884,$ 3421k
42.3557927,-71.1429106,$ 3863k
42.3157774,-71.100938052278,$ 3158k
42.633811037473,-71.29763941452,$ 2685k
42.3157774,-71.100938052278,$ 3989k
42.3434872,-71.0823741,$ 4412k
42.382527,-71.03323,$ 3751k
42.3540681,-71.0522063,$ 4577k
42.365132,-71.067688,$ 4164k
42.2783715,-71.08527085,$ 2422k
42.3537521,-71.0621402,$ 2725k
42.3553534,-71.1363675,$ 2311k
42.382686142857,-71.038737857143,$ 3145k
42.382797,-71.038791,$ 3534k
42.382797,-71.038791,$ 3840k
42.3526614,-71.0592917,$ 3761k
42.349334020408,-71.050035408163,$ 4673k
42.3294008,-71.097483701101,$ 4799k
42.331154612245,-71.042255857143,$ 2927k
42.3531125,-71.062972,$ 4864k
42.3508139,-71.088627693593,$ 2822k
42.877033016896,-71.512520962681,$ 3928k
42.33498,-71.0326,$ 3404k
42.3254868,-71.085188575881,$ 2846k
42.34006125,-71.077829485881,$ 2519k
42.351963538462,-71.069738423077,$ 3338k
42.32422525,-71.05921835,$ 4703k
42.34296895,-71.066388548942,$ 3559k
42.3443165,-71.0626525,$ 3701k
42.3526614,-71.0592917,$ 3899k
42.3456874,-71.083764,$ 4537k
42.3508013,-71.0566199,$ 4143k
42.3553534,-71.1363675,$ 2978k
42.32171905,-71.122390117116,$ 3171k
42.3531125,-71.062972,$ 3492k
42.35727605,-71.065382975304,$ 4214k
42.3442837,-71.1442966,$ 3193k
42.353458,-71.062852,$ 2460k
42.35018425,-71.082844649576,$ 4754k
42.36811075,-71.035117713346,$ 3725k
42.342745800627,-71.056773893023,$ 4251k
42.342745800627,-71.056773893023,$ 4132k
42.36039035,-71.06423836572,$ 4536k
42.3568234,-71.0502568,$ 4025k
